,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
403,BWI,5,67394,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,1,8931,7.546075467
1802,OAK,5,67284,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5496,12.24235808
1540,MCI,8,66457,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5537,12.00234784
1933,PDX,2,66338,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4282,15.49229332
299,BOS,12,65886,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,1,8601,7.660272061
1168,IAH,5,65645,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,11191,5.865874363
1576,MDW,2,65298,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,3810,17.13858268
1153,IAD,3,65159,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4658,13.98862173
818,EWR,12,65002,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,1,8524,7.625762553
1952,PHL,11,64916,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,1,8877,7.312830911
2510,TPA,4,64511,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,6036,10.68770709
653,DCA,2,64338,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,7395,8.70020284
1939,PDX,3,64151,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4772,13.44321039
181,BDL,8,63986,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1,3323,19.25549203
1289,JFK,12,63657,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,1,3550,17.9315493
593,CVG,2,63369,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5248,12.07488567
2169,SAN,11,63328,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,5959,10.62728646
1946,PHL,9,62946,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,1,9765,6.446082949
2346,SJU,1,62387,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2410,25.88672199
1107,HOU,5,62298,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,5151,12.09435061
1585,MEM,8,61559,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,5181,11.88168307
1541,MCI,1,61241,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5315,11.52229539
283,BNA,1,61181,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,5018,12.19230769
1583,MEM,3,61125,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,5040,12.12797619
1207,IND,6,60517,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,3310,18.28308157
599,CVG,7,59214,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5732,10.33042568
1776,MSY,2,58806,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4095,14.36043956
2080,RDU,8,58641,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,3481,16.84602126
1568,MDW,1,58505,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4255,13.74970623
1572,MDW,9,58357,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4358,13.39077559
1573,MDW,3,58152,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4225,13.76378698
1762,MSP,10,58152,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,1,10368,5.608796296
1577,MDW,10,58028,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4350,13.33977011
1154,IAD,10,58004,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4779,12.13726721
2317,SJC,9,57955,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,5815,9.966466036
2349,SJU,3,57923,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2634,21.99050873
278,BNA,8,57575,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4928,11.68323864
505,CLE,6,57310,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4478,12.79812416
1868,ONT,1,56721,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3035,18.68896211
2258,SEA,10,56623,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,1,7362,7.691252377
1100,HOU,4,56488,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,5022,11.24810832
2366,SMF,2,55790,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,2932,19.02796726
2320,SJC,12,55403,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,4980,11.1251004
538,CMH,1,54985,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3532,15.56766704
1208,IND,7,54762,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,3379,16.20656999
1166,IAH,4,54681,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,10863,5.03369235
597,CVG,9,54526,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5494,9.924645067
592,CVG,3,54409,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5811,9.363104457
1938,PDX,4,54288,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4628,11.73033708
2039,PVD,8,54197,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,1,2690,20.14758364
